广西频道,#genre#
广西桂林新闻,https://pull.gltvs.com/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
广西桂林新闻,https://pull.gltvs.com:443/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
广西南宁影视娱乐,http://hls.nntv.cn/nnlive/YSYL_244.m3u8
广西南宁公共,https://hls.nntv.cn/nnlive/GGPD_24.m3u8
广西南宁公共,http://hls.nntv.cn/nnlive/GGPD_24.m3u8
南宁新闻综合,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁文旅生活,https://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁都市生活,http://hls.nntv.cn/nnlive/WLSH_24.m3u8
横州,http://live.nnnews.net/video/s10004-hztv-hd/index.m3u8
TVB翡翠台,http://edge2.163189.xyz/o12.php?id=fct
广东珠江,http://106.53.99.30/tv/push.php?id=gdzj
广东体育,http://106.53.99.30/tv/push.php?id=gdty

4K专区,#genre#
广东4K超高清,http://n1.gzbody.com:85/rtp/239.77.0.244:5146
广东4K超高清,http://n1.gzbody.com:85/rtp/239.77.0.245:5146
广东4K超高清,http://n1.gzbody.com:85/rtp/239.77.1.237:5146
深圳卫视4K,http://8.138.7.223/tv/gd.php?id=0201
深圳卫视4K,http://n1.gzbody.com:85/rtp/239.77.1.14:5146
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
4K测试频道,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8

广东电信,#genre#
大湾区卫视,http://n1.gzbody.com:85/rtp/239.77.0.215:5146
大湾区卫视,http://n1.gzbody.com:85/rtp/239.77.1.12:5146
广东珠江,http://n1.gzbody.com:85/rtp/239.77.0.1:5146
广东珠江,http://n1.gzbody.com:85/rtp/239.77.0.114:5146
广东珠江,http://n1.gzbody.com:85/rtp/239.77.1.94:5146
广东体育,http://n1.gzbody.com:85/rtp/239.77.1.97:5146
广东体育,http://n1.gzbody.com:85/rtp/239.77.0.112:5146
广东体育,http://n1.gzbody.com:85/rtp/239.77.0.168:5146
广东新闻,http://n1.gzbody.com:85/rtp/239.77.0.173:5146
广东影视,http://n1.gzbody.com:85/rtp/239.77.0.217:5146
广东民生,http://n1.gzbody.com:85/rtp/239.77.0.225:5146
广东少儿,http://n1.gzbody.com:85/rtp/239.77.0.250:5146
嘉佳卡通,http://n1.gzbody.com:85/rtp/239.77.1.15:5146
广东移动,http://n1.gzbody.com:85/rtp/239.77.0.20:5146
广东经济科教,http://n1.gzbody.com:85/rtp/239.77.0.167:5146
广东经济科教,http://n1.gzbody.com:85/rtp/239.77.0.85:5146
广东岭南戏曲,http://n1.gzbody.com:85/rtp/239.77.0.122:5146
广东现代教育,http://n1.gzbody.com:85/rtp/239.77.0.213:5146
广东南方购物,http://n1.gzbody.com:85/rtp/239.77.0.19:5146
广东南方购物,http://n1.gzbody.com:85/rtp/239.77.0.22:5146
汕头综合,http://n1.gzbody.com:85/rtp/239.77.1.130:5146
汕头综合,http://n1.gzbody.com:85/rtp/239.253.43.45:5146
汕头经济生活,http://n1.gzbody.com:85/rtp/239.77.1.131:5146
汕头经济生活,http://n1.gzbody.com:85/rtp/239.253.43.46:5146
潮州综合,http://n1.gzbody.com:85/rtp/239.253.43.70:5146
潮州民生,http://n1.gzbody.com:85/rtp/239.253.43.75:5146
汕尾新闻综合,http://n1.gzbody.com:85/rtp/239.77.0.25:5146
汕尾文化生活,http://n1.gzbody.com:85/rtp/239.77.0.187:5146
佛山公共,http://n1.gzbody.com:85/rtp/239.253.43.53:5146
佛山南海,http://n1.gzbody.com:85/rtp/239.253.43.54:5146
佛山顺德,http://n1.gzbody.com:85/rtp/239.253.43.55:5146
佛山影视,http://n1.gzbody.com:85/rtp/239.253.43.56:5146
